id,name,brand,category,type,price,description
1001,Samsung Smartphone Prime 100,Samsung,Electronics,Smartphone,10149,This smartphone from Samsung is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 10149 rupees.
1002,Xiaomi Laptop Pro 107,Xiaomi,Electronics,Laptop,8959,This laptop from Xiaomi is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable laptop in the electronics category at around 8959 rupees.
1003,HP Headphones Edge 114,HP,Electronics,Headphones,10745,This headphones from HP is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable headphones in the electronics category at around 10745 rupees.
1004,Realme Smartwatch Elite 121,Realme,Electronics,Smartwatch,19854,This smartwatch from Realme is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 19854 rupees.
1005,OnePlus Tablet Elite 128,OnePlus,Electronics,Tablet,13049,This tablet from OnePlus is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable tablet in the electronics category at around 13049 rupees.
1006,Dell Power Bank Pro 135,Dell,Electronics,Power Bank,5010,This power bank from Dell is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable power bank in the electronics category at around 5010 rupees.
1007,Boat Bluetooth Speaker Nova 142,Boat,Electronics,Bluetooth Speaker,8680,This bluetooth speaker from Boat is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 8680 rupees.
1008,Apple Monitor Neo 149,Apple,Electronics,Monitor,4599,This monitor from Apple is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable monitor in the electronics category at around 4599 rupees.
1009,Sony Keyboard Neo 156,Sony,Electronics,Keyboard,4576,This keyboard from Sony is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 4576 rupees.
1010,Lenovo Mouse Pro 163,Lenovo,Electronics,Mouse,550,This mouse from Lenovo is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable mouse in the electronics category at around 550 rupees.
1011,Samsung Camera Core 170,Samsung,Electronics,Camera,55248,This camera from Samsung is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable camera in the electronics category at around 55248 rupees.
1012,Xiaomi Earbuds Elite 177,Xiaomi,Electronics,Earbuds,14880,This earbuds from Xiaomi is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 14880 rupees.
1013,Apple Smartphone Lite 184,Apple,Electronics,Smartphone,42909,This smartphone from Apple is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 42909 rupees.
1014,Sony Laptop Plus 191,Sony,Electronics,Laptop,90859,This laptop from Sony is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable laptop in the electronics category at around 90859 rupees.
1015,Lenovo Headphones Plus 198,Lenovo,Electronics,Headphones,11375,This headphones from Lenovo is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable headphones in the electronics category at around 11375 rupees.
1016,Samsung Smartwatch Pro 205,Samsung,Electronics,Smartwatch,7974,This smartwatch from Samsung is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 7974 rupees.
1017,Xiaomi Tablet Neo 212,Xiaomi,Electronics,Tablet,3329,This tablet from Xiaomi is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable tablet in the electronics category at around 3329 rupees.
1018,HP Power Bank Core 219,HP,Electronics,Power Bank,5280,This power bank from HP is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable power bank in the electronics category at around 5280 rupees.
1019,Realme Bluetooth Speaker Lite 226,Realme,Electronics,Bluetooth Speaker,28480,This bluetooth speaker from Realme is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 28480 rupees.
1020,OnePlus Monitor Plus 233,OnePlus,Electronics,Monitor,28899,This monitor from OnePlus is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable monitor in the electronics category at around 28899 rupees.
1021,Dell Keyboard Neo 240,Dell,Electronics,Keyboard,9130,This keyboard from Dell is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 9130 rupees.
1022,Boat Mouse Max 247,Boat,Electronics,Mouse,3430,This mouse from Boat is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable mouse in the electronics category at around 3430 rupees.
1023,Apple Camera Plus 254,Apple,Electronics,Camera,46068,This camera from Apple is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable camera in the electronics category at around 46068 rupees.
1024,Sony Earbuds Classic 261,Sony,Electronics,Earbuds,18120,This earbuds from Sony is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 18120 rupees.
1025,OnePlus Smartphone Pro 268,OnePlus,Electronics,Smartphone,46689,This smartphone from OnePlus is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 46689 rupees.
1026,Dell Laptop Neo 275,Dell,Electronics,Laptop,37939,This laptop from Dell is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable laptop in the electronics category at around 37939 rupees.
1027,Boat Headphones Edge 282,Boat,Electronics,Headphones,17045,This headphones from Boat is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable headphones in the electronics category at around 17045 rupees.
1028,Apple Smartwatch Ultra 289,Apple,Electronics,Smartwatch,5004,This smartwatch from Apple is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 5004 rupees.
1029,Sony Tablet Lite 296,Sony,Electronics,Tablet,27629,This tablet from Sony is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable tablet in the electronics category at around 27629 rupees.
1030,Lenovo Power Bank Core 303,Lenovo,Electronics,Power Bank,7575,This power bank from Lenovo is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable power bank in the electronics category at around 7575 rupees.
1031,Samsung Bluetooth Speaker Lite 310,Samsung,Electronics,Bluetooth Speaker,7600,This bluetooth speaker from Samsung is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 7600 rupees.
1032,Xiaomi Monitor Ultra 317,Xiaomi,Electronics,Monitor,9099,This monitor from Xiaomi is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable monitor in the electronics category at around 9099 rupees.
1033,HP Keyboard Air 324,HP,Electronics,Keyboard,4972,This keyboard from HP is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 4972 rupees.
1034,Realme Mouse Air 331,Realme,Electronics,Mouse,6850,This mouse from Realme is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable mouse in the electronics category at around 6850 rupees.
1035,OnePlus Camera Ultra 338,OnePlus,Electronics,Camera,52188,This camera from OnePlus is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable camera in the electronics category at around 52188 rupees.
1036,Dell Earbuds Sport 345,Dell,Electronics,Earbuds,21090,This earbuds from Dell is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 21090 rupees.
1037,Xiaomi Smartphone Air 352,Xiaomi,Electronics,Smartphone,15819,This smartphone from Xiaomi is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 15819 rupees.
1038,HP Laptop Ultra 359,HP,Electronics,Laptop,36679,This laptop from HP is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable laptop in the electronics category at around 36679 rupees.
1039,Realme Headphones Pro 366,Realme,Electronics,Headphones,11690,This headphones from Realme is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable headphones in the electronics category at around 11690 rupees.
1040,OnePlus Smartwatch Air 373,OnePlus,Electronics,Smartwatch,11439,This smartwatch from OnePlus is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 11439 rupees.
1041,Dell Tablet Plus 380,Dell,Electronics,Tablet,47879,This tablet from Dell is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable tablet in the electronics category at around 47879 rupees.
1042,Boat Power Bank Ultra 387,Boat,Electronics,Power Bank,555,This power bank from Boat is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable power bank in the electronics category at around 555 rupees.
1043,Apple Bluetooth Speaker Elite 394,Apple,Electronics,Bluetooth Speaker,24880,This bluetooth speaker from Apple is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 24880 rupees.
1044,Sony Monitor Nova 401,Sony,Electronics,Monitor,67599,This monitor from Sony is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable monitor in the electronics category at around 67599 rupees.
1045,Lenovo Keyboard Edge 408,Lenovo,Electronics,Keyboard,15862,This keyboard from Lenovo is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 15862 rupees.
1046,Samsung Mouse Air 415,Samsung,Electronics,Mouse,6580,This mouse from Samsung is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable mouse in the electronics category at around 6580 rupees.
1047,Xiaomi Camera Classic 422,Xiaomi,Electronics,Camera,101148,This camera from Xiaomi is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable camera in the electronics category at around 101148 rupees.
1048,HP Earbuds Plus 429,HP,Electronics,Earbuds,3810,This earbuds from HP is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 3810 rupees.
1049,Sony Smartphone Neo 436,Sony,Electronics,Smartphone,30939,This smartphone from Sony is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 30939 rupees.
1050,Lenovo Laptop Nova 443,Lenovo,Electronics,Laptop,92119,This laptop from Lenovo is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable laptop in the electronics category at around 92119 rupees.
1051,Samsung Headphones Neo 450,Samsung,Electronics,Headphones,6020,This headphones from Samsung is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable headphones in the electronics category at around 6020 rupees.
1052,Xiaomi Smartwatch Max 457,Xiaomi,Electronics,Smartwatch,4014,This smartwatch from Xiaomi is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 4014 rupees.
1053,HP Tablet Zen 464,HP,Electronics,Tablet,9809,This tablet from HP is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable tablet in the electronics category at around 9809 rupees.
1054,Realme Power Bank Classic 471,Realme,Electronics,Power Bank,10140,This power bank from Realme is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable power bank in the electronics category at around 10140 rupees.
1055,OnePlus Bluetooth Speaker Pro 478,OnePlus,Electronics,Bluetooth Speaker,14440,This bluetooth speaker from OnePlus is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 14440 rupees.
1056,Dell Monitor Plus 485,Dell,Electronics,Monitor,46899,This monitor from Dell is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable monitor in the electronics category at around 46899 rupees.
1057,Boat Keyboard Zen 492,Boat,Electronics,Keyboard,15466,This keyboard from Boat is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 15466 rupees.
1058,Apple Mouse Air 499,Apple,Electronics,Mouse,4150,This mouse from Apple is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable mouse in the electronics category at around 4150 rupees.
1059,Sony Camera Pro 506,Sony,Electronics,Camera,116448,This camera from Sony is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable camera in the electronics category at around 116448 rupees.
1060,Lenovo Earbuds Edge 513,Lenovo,Electronics,Earbuds,14880,This earbuds from Lenovo is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 14880 rupees.
1061,Dell Smartphone Zen 520,Dell,Electronics,Smartphone,20859,This smartphone from Dell is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 20859 rupees.
1062,Boat Laptop Sport 527,Boat,Electronics,Laptop,21559,This laptop from Boat is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable laptop in the electronics category at around 21559 rupees.
1063,Apple Headphones Sport 534,Apple,Electronics,Headphones,22400,This headphones from Apple is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable headphones in the electronics category at around 22400 rupees.
1064,Sony Smartwatch Max 541,Sony,Electronics,Smartwatch,21339,This smartwatch from Sony is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 21339 rupees.
1065,Lenovo Tablet Plus 548,Lenovo,Electronics,Tablet,54359,This tablet from Lenovo is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable tablet in the electronics category at around 54359 rupees.
1066,Samsung Power Bank Neo 555,Samsung,Electronics,Power Bank,10680,This power bank from Samsung is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable power bank in the electronics category at around 10680 rupees.
1067,Xiaomi Bluetooth Speaker Elite 562,Xiaomi,Electronics,Bluetooth Speaker,16240,This bluetooth speaker from Xiaomi is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 16240 rupees.
1068,HP Monitor Classic 569,HP,Electronics,Monitor,22599,This monitor from HP is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable monitor in the electronics category at around 22599 rupees.
1069,Realme Keyboard Zen 576,Realme,Electronics,Keyboard,4180,This keyboard from Realme is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable keyboard in the electronics category at around 4180 rupees.
1070,OnePlus Mouse Pro 583,OnePlus,Electronics,Mouse,5050,This mouse from OnePlus is a professional grade performance designed for daily use. It offers durable metal body, fast charging support and lightweight and portable. Ideal choice for customers looking for a reliable mouse in the electronics category at around 5050 rupees.
1071,Dell Camera Zen 590,Dell,Electronics,Camera,78198,This camera from Dell is a budget friendly option designed for daily use. It offers long battery life, lightweight and portable and fast charging support. Ideal choice for customers looking for a reliable camera in the electronics category at around 78198 rupees.
1072,Boat Earbuds Lite 597,Boat,Electronics,Earbuds,5160,This earbuds from Boat is a premium quality product designed for daily use. It offers fast charging support, excellent camera quality and low latency wireless connection. Ideal choice for customers looking for a reliable earbuds in the electronics category at around 5160 rupees.
1073,HP Smartphone Prime 604,HP,Electronics,Smartphone,37239,This smartphone from HP is a mid range value for money pick designed for daily use. It offers high refresh rate display, long battery life and suitable for gaming. Ideal choice for customers looking for a reliable smartphone in the electronics category at around 37239 rupees.
1074,Realme Laptop Core 611,Realme,Electronics,Laptop,93379,This laptop from Realme is a entry level basic model designed for daily use. It offers noise cancellation, noise cancellation and high refresh rate display. Ideal choice for customers looking for a reliable laptop in the electronics category at around 93379 rupees.
1075,OnePlus Headphones Edge 618,OnePlus,Electronics,Headphones,20825,This headphones from OnePlus is a professional grade performance designed for daily use. It offers lightweight and portable, great for online classes and durable metal body. Ideal choice for customers looking for a reliable headphones in the electronics category at around 20825 rupees.
1076,Dell Smartwatch Nova 625,Dell,Electronics,Smartwatch,14904,This smartwatch from Dell is a budget friendly option designed for daily use. It offers suitable for gaming, durable metal body and great for online classes. Ideal choice for customers looking for a reliable smartwatch in the electronics category at around 14904 rupees.
1077,Boat Tablet Edge 632,Boat,Electronics,Tablet,55169,This tablet from Boat is a premium quality product designed for daily use. It offers great for online classes, high refresh rate display and noise cancellation. Ideal choice for customers looking for a reliable tablet in the electronics category at around 55169 rupees.
1078,Apple Power Bank Neo 639,Apple,Electronics,Power Bank,7710,This power bank from Apple is a mid range value for money pick designed for daily use. It offers excellent camera quality, suitable for gaming and long battery life. Ideal choice for customers looking for a reliable power bank in the electronics category at around 7710 rupees.
1079,Sony Bluetooth Speaker Edge 646,Sony,Electronics,Bluetooth Speaker,6520,This bluetooth speaker from Sony is a entry level basic model designed for daily use. It offers low latency wireless connection, low latency wireless connection and excellent camera quality. Ideal choice for customers looking for a reliable bluetooth speaker in the electronics category at around 6520 rupees.
